id_bano,numero_voie,nom_voie,code_postal,nom_commume,code_source_bano,latitude,longitude,code_departement,libelle_source
07136b0bbb-115,115,ruelle de la fontaine,48250,Laveyrune,CAD,44.629629,3.895298,48,Cadastre
07136b0bbb-117,117,ruelle de la fontaine,48250,Laveyrune,CAD,44.629657,3.895168,48,Cadastre
07136b0bbb-40,40,ruelle de la fontaine,48250,Laveyrune,CAD,44.630193,3.895238,48,Cadastre
07136b0bbb-78,78,ruelle de la fontaine,48250,Laveyrune,CAD,44.630084,3.895238,48,Cadastre
07136b10bb-17,17,impasse des mauves,48250,Laveyrune,CAD,44.593263,3.905734,48,Cadastre
07136b10bb-21,21,impasse des mauves,48250,Laveyrune,CAD,44.593316,3.90572,48,Cadastre
07136b10bb-23,23,impasse des mauves,48250,Laveyrune,CAD,44.593329,3.905726,48,Cadastre
07136b10bb-25,25,impasse des mauves,48250,Laveyrune,CAD,44.593352,3.905733,48,Cadastre
07136b11bb-12,12,impasse des jonquilles,48250,Laveyrune,CAD,44.614753,3.898877,48,Cadastre
07136b11bb-34,34,impasse des jonquilles,48250,Laveyrune,CAD,44.614679,3.898689,48,Cadastre
07136b12bb-1770,1770,route de serres,48250,Laveyrune,CAD,44.619972,3.918202,48,Cadastre
07136b12bb-1820,1820,route de serres,48250,Laveyrune,CAD,44.619951,3.918801,48,Cadastre
07136b12bb-1879,1879,route de serres,48250,Laveyrune,CAD,44.620163,3.919622,48,Cadastre
07136b12bb-1898,1898,route de serres,48250,Laveyrune,CAD,44.619952,3.919745,48,Cadastre
07136b12bb-1913,1913,route de serres,48250,Laveyrune,CAD,44.619974,3.919935,48,Cadastre
07136b12bb-1914,1914,route de serres,48250,Laveyrune,CAD,44.619888,3.919945,48,Cadastre
07136b12bb-1932,1932,route de serres,48250,Laveyrune,CAD,44.619935,3.920175,48,Cadastre
07136b12bb-1955,1955,route de serres,48250,Laveyrune,CAD,44.620023,3.920466,48,Cadastre
07136b12bb-1980,1980,route de serres,48250,Laveyrune,CAD,44.619913,3.920801,48,Cadastre
07136b12bb-249,249,route de serres,48250,Laveyrune,CAD,44.615893,3.901558,48,Cadastre
07136b12bb-73,73,route de serres,48250,Laveyrune,CAD,44.614706,3.900608,48,Cadastre
07136b13bb-108,108,quai de l'allier,48250,Laveyrune,CAD,44.632725,3.89456,48,Cadastre
07136b13bb-125,125,quai de l'allier,48250,Laveyrune,CAD,44.632859,3.894399,48,Cadastre
07136b13bb-163,163,quai de l'allier,48250,Laveyrune,CAD,44.633215,3.894398,48,Cadastre
07136b13bb-171,171,quai de l'allier,48250,Laveyrune,CAD,44.633278,3.894412,48,Cadastre
07136b13bb-180,180,quai de l'allier,48250,Laveyrune,CAD,44.633356,3.894527,48,Cadastre
07136b13bb-192,192,quai de l'allier,48250,Laveyrune,CAD,44.63347,3.894545,48,Cadastre
07136b13bb-237,237,quai de l'allier,48250,Laveyrune,CAD,44.63389,3.894452,48,Cadastre
07136b13bb-250,250,quai de l'allier,48250,Laveyrune,CAD,44.633962,3.894762,48,Cadastre
07136b13bb-288,288,quai de l'allier,48250,Laveyrune,CAD,44.634283,3.894857,48,Cadastre
07136b13bb-300,300,quai de l'allier,48250,Laveyrune,CAD,44.634383,3.894915,48,Cadastre
07136b13bb-314,314,quai de l'allier,48250,Laveyrune,CAD,44.634483,3.895024,48,Cadastre
07136b13bb-326,326,quai de l'allier,48250,Laveyrune,CAD,44.634594,3.895089,48,Cadastre
07136b13bb-34,34,quai de l'allier,48250,Laveyrune,CAD,44.632096,3.894827,48,Cadastre
07136b14bb-24,24,impasse des narcisses,48250,Laveyrune,CAD,44.614382,3.899234,48,Cadastre
07136b15bb-29,29,impasse de jumelle,48250,Laveyrune,CAD,44.633445,3.895483,48,Cadastre
07136b16bb-124,124,rue de l'église,48250,Laveyrune,CAD,44.627603,3.897007,48,Cadastre
07136b16bb-80,80,rue de l'église,48250,Laveyrune,CAD,44.62839,3.895651,48,Cadastre
07136b17bb-14,14,impasse des jardins,48250,Laveyrune,CAD,44.619967,3.91935,48,Cadastre
07136b17bb-31,31,impasse des jardins,48250,Laveyrune,CAD,44.619785,3.919397,48,Cadastre
07136b18bb-115,115,chemin de l'adreyt,48250,Laveyrune,CAD,44.61576,3.899787,48,Cadastre
07136b18bb-132,132,chemin de l'adreyt,48250,Laveyrune,CAD,44.615588,3.9001,48,Cadastre
07136b18bb-18,18,chemin de l'adreyt,48250,Laveyrune,CAD,44.61516,3.898808,48,Cadastre
07136b18bb-55,55,chemin de l'adreyt,48250,Laveyrune,CAD,44.615688,3.898897,48,Cadastre
07136b18bb-57,57,chemin de l'adreyt,48250,Laveyrune,CAD,44.616115,3.898548,48,Cadastre
07136b18bb-84,84,chemin de l'adreyt,48250,Laveyrune,CAD,44.615438,3.899521,48,Cadastre
07136b19bb-481,481,montée de tireboeufs,48250,Laveyrune,CAD,44.615544,3.898453,48,Cadastre
07136b19bb-568,568,montée de tireboeufs,48250,Laveyrune,CAD,44.614807,3.898905,48,Cadastre
07136b1bbb-225,225,chemin de l'avert,48250,Laveyrune,CAD,44.61465,3.901742,48,Cadastre
07136b1bbb-229,229,chemin de l'avert,48250,Laveyrune,CAD,44.614755,3.901775,48,Cadastre
07136b1bbb-233,233,chemin de l'avert,48250,Laveyrune,CAD,44.614599,3.901859,48,Cadastre
07136b20bb-20,20,Impasse du Riou,48250,Laveyrune,C+O,44.59254,3.905581,48,Cadastre GSM
07136b21bb-21,21,ruelle du four,48250,Laveyrune,CAD,44.620164,3.92005,48,Cadastre
07136b22bb-29,29,impasse du creil,48250,Laveyrune,CAD,44.633213,3.89488,48,Cadastre
07136b22bb-34,34,impasse du creil,48250,Laveyrune,CAD,44.633084,3.894765,48,Cadastre
07136b22bb-44,44,impasse du creil,48250,Laveyrune,CAD,44.633001,3.89478,48,Cadastre
07136b23bb-11,11,place sainte-madeleine,48250,Laveyrune,CAD,44.62849,3.895003,48,Cadastre
07136b23bb-29,29,place sainte-madeleine,48250,Laveyrune,CAD,44.628795,3.895167,48,Cadastre
07136b23bb-31,31,place sainte-madeleine,48250,Laveyrune,CAD,44.62882,3.895426,48,Cadastre
07136b23bb-33,33,place sainte-madeleine,48250,Laveyrune,CAD,44.628632,3.895473,48,Cadastre
07136b23bb-39,39,place sainte-madeleine,48250,Laveyrune,CAD,44.628574,3.895542,48,Cadastre
07136b23bb-41,41,place sainte-madeleine,48250,Laveyrune,CAD,44.628524,3.895551,48,Cadastre
07136b24bb-221,221,chemin de stevenson,48250,Laveyrune,CAD,44.615928,3.899581,48,Cadastre
07136b2bbb-14,14,impasse des pas perdus,48250,Laveyrune,CAD,44.592902,3.905682,48,Cadastre
07136b2bbb-18,18,impasse des pas perdus,48250,Laveyrune,CAD,44.592898,3.905606,48,Cadastre
07136b2bbb-4,4,impasse des pas perdus,48250,Laveyrune,CAD,44.59288,3.905805,48,Cadastre
07136b3bbb-157,157,Chemin des Tilleuls,48250,Laveyrune,C+O,44.594455,3.907365,48,Cadastre GSM
07136b3bbb-177,177,Chemin des Tilleuls,48250,Laveyrune,C+O,44.594264,3.907278,48,Cadastre GSM
07136b3bbb-235,235,Chemin des Tilleuls,48250,Laveyrune,C+O,44.593714,3.907276,48,Cadastre GSM
07136b3bbb-289,289,Chemin des Tilleuls,48250,Laveyrune,C+O,44.593283,3.906944,48,Cadastre GSM
07136b3bbb-294,294,Chemin des Tilleuls,48250,Laveyrune,C+O,44.593261,3.906799,48,Cadastre GSM
07136b3bbb-336,336,Chemin des Tilleuls,48250,Laveyrune,C+O,44.592921,3.906598,48,Cadastre GSM
07136b3bbb-358,358,Chemin des Tilleuls,48250,Laveyrune,C+O,44.592771,3.906477,48,Cadastre GSM
07136b3bbb-400,400,Chemin des Tilleuls,48250,Laveyrune,C+O,44.592631,3.906031,48,Cadastre GSM
07136b3bbb-77,77,Chemin des Tilleuls,48250,Laveyrune,C+O,44.595141,3.907378,48,Cadastre GSM
07136b4bbb-123,123,Rue de la Passerelle,48250,Laveyrune,C+O,44.594913,3.906596,48,Cadastre GSM
07136b4bbb-128,128,Rue de la Passerelle,48250,Laveyrune,C+O,44.594939,3.906378,48,Cadastre GSM
07136b4bbb-158,158,Rue de la Passerelle,48250,Laveyrune,C+O,44.594673,3.906272,48,Cadastre GSM
07136b4bbb-206,206,Rue de la Passerelle,48250,Laveyrune,C+O,44.594236,3.906202,48,Cadastre GSM
07136b4bbb-28,28,Rue de la Passerelle,48250,Laveyrune,C+O,44.595473,3.906751,48,Cadastre GSM
07136b4bbb-40,40,Rue de la Passerelle,48250,Laveyrune,C+O,44.59548,3.906934,48,Cadastre GSM
07136b4bbb-58,58,Rue de la Passerelle,48250,Laveyrune,C+O,44.59543,3.906951,48,Cadastre GSM
07136b4bbb-66,66,Rue de la Passerelle,48250,Laveyrune,C+O,44.595381,3.906891,48,Cadastre GSM
07136b4bbb-72,72,Rue de la Passerelle,48250,Laveyrune,C+O,44.595352,3.906821,48,Cadastre GSM
07136b4bbb-81,81,Rue de la Passerelle,48250,Laveyrune,C+O,44.595208,3.906885,48,Cadastre GSM
07136b4bbb-86,86,Rue de la Passerelle,48250,Laveyrune,C+O,44.595247,3.906722,48,Cadastre GSM
07136b4bbb-98,98,Rue de la Passerelle,48250,Laveyrune,C+O,44.595171,3.906601,48,Cadastre GSM
07136b5bbb-2122,2122,Route des Cévennes,48250,Laveyrune,C+O,44.60372,3.907472,48,Cadastre GSM
07136b5bbb-2886,2886,Route des Cévennes,48250,Laveyrune,C+O,44.596967,3.905618,48,Cadastre GSM
07136b5bbb-2934,2934,Route des Cévennes,48250,Laveyrune,C+O,44.596531,3.90586,48,Cadastre GSM
07136b5bbb-2949,2949,Route des Cévennes,48250,Laveyrune,C+O,44.596474,3.906159,48,Cadastre GSM
07136b5bbb-3105,3105,Route des Cévennes,48250,Laveyrune,C+O,44.595362,3.90731,48,Cadastre GSM
07136b5bbb-3199,3199,Route des Cévennes,48250,Laveyrune,C+O,44.594542,3.906857,48,Cadastre GSM
07136b5bbb-3217,3217,Route des Cévennes,48250,Laveyrune,C+O,44.594392,3.906761,48,Cadastre GSM
07136b5bbb-3255,3255,Route des Cévennes,48250,Laveyrune,C+O,44.594062,3.906605,48,Cadastre GSM
