orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1001765,59802,BOOK,MT,12799.780000000004
1001800,59802,BOOK,MT,12799.780000000004
1003466,59801,ARTWORK,MT,12799.780000000004
1006070,59875,ARTWORK,MT,12799.780000000004
1016259,59601,CALENDAR,MT,12799.780000000004
1016260,59601,BOOK,MT,12799.780000000004
1018062,59715,OCCASION,MT,12799.780000000004
1022680,59717,ARTWORK,MT,12799.780000000004
1022681,59717,ARTWORK,MT,12799.780000000004
1026077,59102,OCCASION,MT,12799.780000000004
1032735,59101,ARTWORK,MT,12799.780000000004
1035279,59047,BOOK,MT,12799.780000000004
1037296,59601,ARTWORK,MT,12799.780000000004
1043066,59801,OCCASION,MT,12799.780000000004
1046999,59715,ARTWORK,MT,12799.780000000004
1047109,59741,OCCASION,MT,12799.780000000004
1047110,59741,OCCASION,MT,12799.780000000004
1047111,59741,OCCASION,MT,12799.780000000004
1047112,59741,OCCASION,MT,12799.780000000004
1047113,59741,OCCASION,MT,12799.780000000004
1047114,59741,OCCASION,MT,12799.780000000004
1050749,59102,ARTWORK,MT,12799.780000000004
1051841,59047,CALENDAR,MT,12799.780000000004
1053456,59715,BOOK,MT,12799.780000000004
1053888,59601,GAME,MT,12799.780000000004
1053889,59601,GAME,MT,12799.780000000004
1059992,59601,GAME,MT,12799.780000000004
1062744,59701,BOOK,MT,12799.780000000004
1065826,59068,ARTWORK,MT,12799.780000000004
1069340,59601,CALENDAR,MT,12799.780000000004
1070194,59101,OCCASION,MT,12799.780000000004
1079876,59801,BOOK,MT,12799.780000000004
1079877,59801,BOOK,MT,12799.780000000004
1079878,59801,GAME,MT,12799.780000000004
1079879,59801,OCCASION,MT,12799.780000000004
1079880,59801,CALENDAR,MT,12799.780000000004
1079881,59801,CALENDAR,MT,12799.780000000004
1085555,59715,OCCASION,MT,12799.780000000004
1089238,59102,BOOK,MT,12799.780000000004
1098092,59801,GAME,MT,12799.780000000004
1098093,59801,GAME,MT,12799.780000000004
1098970,59937,BOOK,MT,12799.780000000004
1099377,59102,APPAREL,MT,12799.780000000004
1100459,59434,ARTWORK,MT,12799.780000000004
1100620,59725,ARTWORK,MT,12799.780000000004
1103044,59901,BOOK,MT,12799.780000000004
1107933,59601,OCCASION,MT,12799.780000000004
1109440,59404,BOOK,MT,12799.780000000004
1109441,59404,OCCASION,MT,12799.780000000004
1111122,59718,BOOK,MT,12799.780000000004
1113153,59404,OCCASION,MT,12799.780000000004
1114327,59601,GAME,MT,12799.780000000004
1116543,59401,GAME,MT,12799.780000000004
1116544,59401,GAME,MT,12799.780000000004
1116545,59401,GAME,MT,12799.780000000004
1117306,59802,ARTWORK,MT,12799.780000000004
1120456,59804,ARTWORK,MT,12799.780000000004
1122830,59870,BOOK,MT,12799.780000000004
1123362,59715,APPAREL,MT,12799.780000000004
1125766,59847,APPAREL,MT,12799.780000000004
1126169,59632,BOOK,MT,12799.780000000004
1127052,59701,BOOK,MT,12799.780000000004
