orderlineid,zipcode,PRODUCTGROUPNAME,state,Ventes_par_département
1010592,75229,ARTWORK,TX,599166.5900000047
1010595,75220,ARTWORK,TX,599166.5900000047
1010739,77043,BOOK,TX,599166.5900000047
1010747,78735,OTHER,TX,599166.5900000047
1010753,77098,ARTWORK,TX,599166.5900000047
1010795,78753,ARTWORK,TX,599166.5900000047
1010821,75228,BOOK,TX,599166.5900000047
1010901,75205,CALENDAR,TX,599166.5900000047
1010959,77380,ARTWORK,TX,599166.5900000047
1010973,75229,BOOK,TX,599166.5900000047
1010993,76008,OCCASION,TX,599166.5900000047
1010994,76008,BOOK,TX,599166.5900000047
1011003,75220,BOOK,TX,599166.5900000047
1011103,78705,BOOK,TX,599166.5900000047
1011126,75050,CALENDAR,TX,599166.5900000047
1011127,75050,ARTWORK,TX,599166.5900000047
1011136,78228,BOOK,TX,599166.5900000047
1011226,78205,BOOK,TX,599166.5900000047
1011293,75219,ARTWORK,TX,599166.5900000047
1011345,76107,ARTWORK,TX,599166.5900000047
1011397,77077,BOOK,TX,599166.5900000047
1011398,77077,ARTWORK,TX,599166.5900000047
1011399,77077,BOOK,TX,599166.5900000047
1011545,77056,BOOK,TX,599166.5900000047
1011659,75043,BOOK,TX,599166.5900000047
1011703,75231,ARTWORK,TX,599166.5900000047
1011740,78713,BOOK,TX,599166.5900000047
1011814,78708,ARTWORK,TX,599166.5900000047
1011826,77073,OTHER,TX,599166.5900000047
1011827,77073,OTHER,TX,599166.5900000047
1000055,77210,BOOK,TX,599166.5900000047
1000064,78701,BOOK,TX,599166.5900000047
1000065,78701,BOOK,TX,599166.5900000047
1000078,75205,BOOK,TX,599166.5900000047
1000079,77002,BOOK,TX,599166.5900000047
1000080,77002,BOOK,TX,599166.5900000047
1000081,77002,BOOK,TX,599166.5900000047
1000162,75206,ARTWORK,TX,599166.5900000047
1000205,76110,ARTWORK,TX,599166.5900000047
1000209,76034,ARTWORK,TX,599166.5900000047
1000215,78746,OTHER,TX,599166.5900000047
1000216,78746,CALENDAR,TX,599166.5900000047
1000247,75219,BOOK,TX,599166.5900000047
1000248,75219,CALENDAR,TX,599166.5900000047
1000345,75206,ARTWORK,TX,599166.5900000047
1000360,75116,OCCASION,TX,599166.5900000047
1000385,76017,ARTWORK,TX,599166.5900000047
1000386,76017,ARTWORK,TX,599166.5900000047
1000412,77077,ARTWORK,TX,599166.5900000047
1000444,78013,OTHER,TX,599166.5900000047
1000528,76107,BOOK,TX,599166.5900000047
1000536,77380,OCCASION,TX,599166.5900000047
1000537,77380,OCCASION,TX,599166.5900000047
1000589,78734,BOOK,TX,599166.5900000047
1000740,78734,ARTWORK,TX,599166.5900000047
1000747,78250,BOOK,TX,599166.5900000047
1000859,78213,BOOK,TX,599166.5900000047
1000936,75205,ARTWORK,TX,599166.5900000047
1000977,76011,BOOK,TX,599166.5900000047
1000978,76011,BOOK,TX,599166.5900000047
1000995,77098,BOOK,TX,599166.5900000047
1001078,77550,OCCASION,TX,599166.5900000047
1001134,77005,ARTWORK,TX,599166.5900000047
1001223,77008,ARTWORK,TX,599166.5900000047
1001304,77381,BOOK,TX,599166.5900000047
1001346,77056,BOOK,TX,599166.5900000047
1001347,77056,BOOK,TX,599166.5900000047
1001348,77056,BOOK,TX,599166.5900000047
1001358,77008,BOOK,TX,599166.5900000047
1001420,75225,BOOK,TX,599166.5900000047
1001494,75093,ARTWORK,TX,599166.5900000047
1001507,77024,BOOK,TX,599166.5900000047
1001526,75205,BOOK,TX,599166.5900000047
1001530,78731,BOOK,TX,599166.5900000047
1001555,77042,BOOK,TX,599166.5900000047
1001593,77566,BOOK,TX,599166.5900000047
1001602,77706,OCCASION,TX,599166.5900000047
1001661,77025,ARTWORK,TX,599166.5900000047
1001677,77006,ARTWORK,TX,599166.5900000047
1001791,78730,ARTWORK,TX,599166.5900000047
1001828,78209,ARTWORK,TX,599166.5900000047
1001921,78735,ARTWORK,TX,599166.5900000047
1002174,78731,ARTWORK,TX,599166.5900000047
1002213,78229,OTHER,TX,599166.5900000047
1002227,78712,BOOK,TX,599166.5900000047
1002230,78759,ARTWORK,TX,599166.5900000047
1002329,78734,ARTWORK,TX,599166.5900000047
1002398,77210,OTHER,TX,599166.5900000047
1002421,75275,BOOK,TX,599166.5900000047
1002509,76109,OCCASION,TX,599166.5900000047
1002510,76109,BOOK,TX,599166.5900000047
1002630,77381,ARTWORK,TX,599166.5900000047
1011916,75248,BOOK,TX,599166.5900000047
1012067,78701,ARTWORK,TX,599166.5900000047
1012068,78701,ARTWORK,TX,599166.5900000047
1012077,77058,BOOK,TX,599166.5900000047
1012078,77058,OTHER,TX,599166.5900000047
1012079,77058,BOOK,TX,599166.5900000047
1012105,75229,ARTWORK,TX,599166.5900000047
1012160,76006,ARTWORK,TX,599166.5900000047
1012202,75231,BOOK,TX,599166.5900000047
1012231,76006,BOOK,TX,599166.5900000047
1012232,76006,BOOK,TX,599166.5900000047
1012293,75252,ARTWORK,TX,599166.5900000047
1012294,75252,ARTWORK,TX,599166.5900000047
